"Time","MEM","Iter"
"45719","60","11.0"
"46299","60","11.0"
"46408","60","11.0"
"31342","60","7.0"
"45950","61","11.0"
"30344","59","7.0"
"45487","60","11.0"
"45307","60","11.0"
"60893","60","15.0"
"30915","60","7.0"
"45909","60","11.0"
"31323","60","7.0"
"45834","61","11.0"
"38518","61","9.0"
"61859","59","15.0"
"46331","59","11.0"
"39322","60","9.0"
"31830","60","7.0"
"39844","60","9.0"
"31274","60","7.0"
"32589","60","7.0"
"62701","60","15.0"
"32199","60","7.0"
"47177","60","11.0"
"46750","60","11.0"
"32198","60","7.0"
"46860","60","11.0"
"31126","60","7.0"
"31210","60","7.0"
"31424","60","7.0"
"39086","60","9.0"
"38884","60","9.0"
"46890","60","11.0"
"32353","60","7.0"
"38921","60","9.0"
"61536","60","15.0"
"31586","60","7.0"
"46516","60","11.0"
"31481","60","7.0"
"46523","60","11.0"
"60761","60","15.0"
"68085","60","17.0"
"31673","60","7.0"
"46565","60","11.0"
"32385","60","7.0"
"47050","60","11.0"
"32195","60","7.0"
"69710","60","17.0"
"48009","60","11.0"
"38837","60","9.0"
"32058","60","7.0"
"61154","60","15.0"
"31163","60","7.0"
"46487","60","11.0"
"39983","60","9.0"
"46176","60","11.0"
"39688","60","9.0"
"47038","60","11.0"
"31334","60","7.0"
"63140","60","15.0"
"31468","60","7.0"
"30687","60","7.0"
"46539","60","11.0"
"30833","60","7.0"
"45566","60","11.0"
"38611","60","9.0"
"45106","60","11.0"
"31457","60","7.0"
"45424","60","11.0"
"38179","60","9.0"
"67682","60","17.0"
"30836","60","7.0"
"31332","60","7.0"
"31874","60","7.0"
"45547","60","11.0"
"32207","60","7.0"
"46049","60","11.0"
"45468","60","11.0"
"31868","60","7.0"
"45686","60","11.0"
"31084","60","7.0"
"45539","60","11.0"
"45624","60","11.0"
"45454","60","11.0"
"30670","60","7.0"
"46057","60","11.0"
"30862","60","7.0"
"46013","60","11.0"
"30939","60","7.0"
"46222","60","11.0"
"32859","60","7.0"
"21834","60","4.0"
"32728","60","7.0"
"20638","60","4.0"
"48154","60","11.0"
"47356","60","11.0"
"46623","60","11.0"
"20978","60","4.0"
"46888","60","11.0"
"38912","60","9.0"
"41100.62","60.0","9.57"
"1.0953985900565664E8","0.06060606060606062","7.944545454545454"
