"Time","MEM","Iter"
"72859","77","11.0"
"72923","78","11.0"
"72879","78","11.0"
"51830","78","7.0"
"76240","79","11.0"
"50794","79","7.0"
"76097","79","11.0"
"75186","77","11.0"
"109426","77","15.0"
"54245","77","7.0"
"75204","78","11.0"
"50175","78","7.0"
"75229","78","11.0"
"63176","78","9.0"
"100306","78","15.0"
"75804","78","11.0"
"63759","78","9.0"
"50812","78","7.0"
"63102","78","9.0"
"50717","78","7.0"
"51244","78","7.0"
"101275","79","15.0"
"51579","79","7.0"
"76578","79","11.0"
"76900","79","11.0"
"51254","79","7.0"
"76008","79","11.0"
"51611","79","7.0"
"51619","79","7.0"
"51364","77","7.0"
"64632","77","9.0"
"63871","77","9.0"
"77243","77","11.0"
"51648","78","7.0"
"64779","78","9.0"
"101988","78","15.0"
"51678","78","7.0"
"77668","78","11.0"
"52221","78","7.0"
"77887","78","11.0"
"102939","78","15.0"
"114929","78","17.0"
"52755","78","7.0"
"78354","78","11.0"
"52715","78","7.0"
"78300","78","11.0"
"53055","78","7.0"
"115761","78","17.0"
"78732","78","11.0"
"67268","78","9.0"
"53577","78","7.0"
"103112","78","15.0"
"54798","78","7.0"
"78260","78","11.0"
"65265","78","9.0"
"78599","78","11.0"
"66175","78","9.0"
"77991","78","11.0"
"53121","78","7.0"
"103608","78","15.0"
"52770","78","7.0"
"53257","78","7.0"
"77815","78","11.0"
"53202","78","7.0"
"78958","78","11.0"
"65889","78","9.0"
"78207","78","11.0"
"53834","78","7.0"
"78178","78","11.0"
"65610","78","9.0"
"115881","78","17.0"
"53011","78","7.0"
"53026","78","7.0"
"53524","78","7.0"
"77744","78","11.0"
"53367","78","7.0"
"78029","78","11.0"
"78484","78","11.0"
"54171","78","7.0"
"78064","78","11.0"
"52882","78","7.0"
"78543","78","11.0"
"78481","78","11.0"
"78106","78","11.0"
"53097","78","7.0"
"77882","78","11.0"
"53262","78","7.0"
"78181","78","11.0"
"52888","78","7.0"
"79122","78","11.0"
"52881","78","7.0"
"34915","78","4.0"
"53601","78","7.0"
"35116","78","4.0"
"78334","78","11.0"
"78222","78","11.0"
"77623","78","11.0"
"34355","78","4.0"
"78165","78","11.0"
"66251","78","9.0"
"68580.52","78.03","9.57"
"3.1327321231272733E8","0.19101010101010102","7.944545454545454"
