"Time","MEM","Iter"
"159979","113","11.0"
"150119","113","11.0"
"151728","114","11.0"
"102291","115","7.0"
"151665","115","11.0"
"103491","116","7.0"
"152546","116","11.0"
"152990","113","11.0"
"203257","113","15.0"
"105279","114","7.0"
"153976","114","11.0"
"105096","114","7.0"
"165483","115","11.0"
"141239","115","9.0"
"220680","115","15.0"
"166742","115","11.0"
"140399","115","9.0"
"113247","115","7.0"
"139881","115","9.0"
"109278","115","7.0"
"107534","115","7.0"
"206313","115","15.0"
"113256","115","7.0"
"164720","115","11.0"
"165558","115","11.0"
"114904","115","7.0"
"165811","115","11.0"
"112154","115","7.0"
"113707","115","7.0"
"113981","115","7.0"
"139826","115","9.0"
"150973","115","9.0"
"44586463","115","11.0"
"118285","115","7.0"
"142252","115","9.0"
"216954","115","15.0"
"114716","115","7.0"
"165965","115","11.0"
"114669","115","7.0"
"179088","115","11.0"
"219104","115","15.0"
"267953","115","17.0"
"126192","115","7.0"
"186064","115","11.0"
"124329","115","7.0"
"184496","115","11.0"
"126556","115","7.0"
"271765","115","17.0"
"181198","115","11.0"
"150094","115","9.0"
"123820","115","7.0"
"224233","115","15.0"
"116045","115","7.0"
"172003","115","11.0"
"142360","115","9.0"
"164151","115","11.0"
"138008","115","9.0"
"164207","115","11.0"
"113149","115","7.0"
"225161","115","15.0"
"118086","115","7.0"
"120309","115","7.0"
"170869","115","11.0"
"114871","115","7.0"
"166659","115","11.0"
"140442","115","9.0"
"166101","115","11.0"
"115653","115","7.0"
"166776","115","11.0"
"140191","115","9.0"
"247911","115","17.0"
"112659","115","7.0"
"112594","115","7.0"
"113629","115","7.0"
"166133","115","11.0"
"113420","115","7.0"
"163504","115","11.0"
"166019","115","11.0"
"111816","115","7.0"
"169078","115","11.0"
"111690","115","7.0"
"166792","115","11.0"
"165699","115","11.0"
"165817","115","11.0"
"112895","115","7.0"
"168449","115","11.0"
"116445","115","7.0"
"178075","115","11.0"
"109637","115","7.0"
"164199","115","11.0"
"110466","115","7.0"
"72027","115","4.0"
"113292","115","7.0"
"75516","115","4.0"
"160549","115","11.0"
"161797","115","11.0"
"165025","115","11.0"
"74973","115","4.0"
"163927","115","11.0"
"138691","115","9.0"
"592100.64","114.9","9.57"
"1.9749514342991E13","0.21212121212121296","7.944545454545454"
