"Time","MEM","Iter"
"280659","150","11.0"
"271501","151","11.0"
"274339","152","11.0"
"185062","153","7.0"
"275762","149","11.0"
"186845","149","7.0"
"277324","150","11.0"
"277506","151","11.0"
"367328","151","15.0"
"191402","152","7.0"
"282794","151","11.0"
"195145","151","7.0"
"281661","151","11.0"
"237035","151","9.0"
"371846","151","15.0"
"283448","151","11.0"
"237854","151","9.0"
"192552","151","7.0"
"238733","151","9.0"
"193454","151","7.0"
"193735","151","7.0"
"371556","151","15.0"
"192819","151","7.0"
"283478","151","11.0"
"282900","151","11.0"
"192622","151","7.0"
"280848","151","11.0"
"194686","151","7.0"
"192482","151","7.0"
"192628","151","7.0"
"237610","151","9.0"
"236777","151","9.0"
"282951","151","11.0"
"193354","151","7.0"
"236949","151","9.0"
"372604","151","15.0"
"193739","151","7.0"
"282298","151","11.0"
"192018","151","7.0"
"281508","151","11.0"
"372743","151","15.0"
"414590","151","17.0"
"194619","151","7.0"
"282609","151","11.0"
"191844","151","7.0"
"283252","151","11.0"
"193448","151","7.0"
"419634","151","17.0"
"283039","151","11.0"
"237434","151","9.0"
"193599","151","7.0"
"370767","151","15.0"
"191840","151","7.0"
"283554","151","11.0"
"238774","151","9.0"
