"Time","MEM","Iter"
"25581","42","11.0"
"25315","42","11.0"
"25726","42","11.0"
"17445","42","7.0"
"25286","42","11.0"
"17692","42","7.0"
"25909","43","11.0"
"25498","43","11.0"
"33662","43","15.0"
"17955","43","7.0"
"25780","43","11.0"
"18038","43","7.0"
"26100","43","11.0"
"22170","43","9.0"
"34598","43","15.0"
"26132","43","11.0"
"21699","43","9.0"
"17118","43","7.0"
"21164","43","9.0"
"17090","43","7.0"
"16816","43","7.0"
"34349","43","15.0"
"16839","43","7.0"
"24715","43","11.0"
"25108","43","11.0"
"16809","43","7.0"
"25041","43","11.0"
"16375","43","7.0"
"16455","43","7.0"
"16334","43","7.0"
"20925","43","9.0"
"21023","43","9.0"
"25078","43","11.0"
"16642","43","7.0"
"20572","43","9.0"
"33283","43","15.0"
"16937","43","7.0"
"26191","43","11.0"
"17517","43","7.0"
"26145","43","11.0"
"33988","43","15.0"
"37494","43","17.0"
"17392","43","7.0"
"25801","43","11.0"
"17360","43","7.0"
"26366","43","11.0"
"17458","43","7.0"
"38768","42","17.0"
"25933","42","11.0"
"21695","43","9.0"
"17142","42","7.0"
"33713","42","15.0"
"17336","43","7.0"
"26582","42","11.0"
"22390","42","9.0"
"24763","42","11.0"
"20355","42","9.0"
"23954","42","11.0"
"15887","43","7.0"
"30993","42","15.0"
"15381","42","7.0"
"15521","43","7.0"
"23501","42","11.0"
"15452","43","7.0"
"23086","42","11.0"
"19370","42","9.0"
"23262","42","11.0"
"16705","42","7.0"
"23713","42","11.0"
"19474","42","9.0"
"34459","42","17.0"
"15450","43","7.0"
"15375","43","7.0"
"15316","43","7.0"
"23144","43","11.0"
"15432","43","7.0"
"23063","43","11.0"
"23287","42","11.0"
"15641","42","7.0"
"23992","42","11.0"
"15789","42","7.0"
"23756","42","11.0"
"23288","43","11.0"
"23494","42","11.0"
"15430","42","7.0"
"23047","42","11.0"
"15740","42","7.0"
"23393","42","11.0"
"15368","42","7.0"
"22982","42","11.0"
"15546","42","7.0"
"9625","42","4.0"
"15407","42","7.0"
"9714","42","4.0"
"23334","42","11.0"
"23090","42","11.0"
"22958","42","11.0"
"9763","42","4.0"
"23160","42","11.0"
"19698","42","9.0"
"21736.88","42.53","9.57"
"3.566768366222222E7","0.25161616161616157","7.944545454545454"
