"Time","MEM","Iter"
"8449","24","11.0"
"8116","24","11.0"
"7978","24","11.0"
"5457","24","7.0"
"8169","24","11.0"
"5543","24","7.0"
"8309","24","11.0"
"9264","24","11.0"
"10871","24","15.0"
"5463","24","7.0"
"8083","24","11.0"
"5878","24","7.0"
"8601","24","11.0"
"7216","24","9.0"
"10652","24","15.0"
"8300","24","11.0"
"6947","24","9.0"
"5922","24","7.0"
"6926","24","9.0"
"5541","24","7.0"
"5608","24","7.0"
"10777","24","15.0"
"5602","24","7.0"
"8312","24","11.0"
"8151","24","11.0"
"5624","24","7.0"
"8170","24","11.0"
"5633","24","7.0"
"5609","24","7.0"
"5621","24","7.0"
"6902","24","9.0"
"6991","24","9.0"
"8256","24","11.0"
"5625","24","7.0"
"6897","24","9.0"
"10892","24","15.0"
"5830","24","7.0"
"8918","24","11.0"
"6368","24","7.0"
"9120","24","11.0"
"11519","24","15.0"
"13652","24","17.0"
"6102","24","7.0"
"9081","24","11.0"
"6458","24","7.0"
"8683","24","11.0"
"5984","24","7.0"
"13071","24","17.0"
"8858","24","11.0"
"7313","24","9.0"
"5916","24","7.0"
"11352","24","15.0"
"6036","24","7.0"
"8681","24","11.0"
"7272","24","9.0"
"8702","24","11.0"
"7275","24","9.0"
"8659","24","11.0"
"6338","24","7.0"
"11547","24","15.0"
"6039","24","7.0"
"5945","24","7.0"
"8671","24","11.0"
"6121","24","7.0"
"8667","24","11.0"
"7311","24","9.0"
"8711","24","11.0"
"6063","24","7.0"
"8795","24","11.0"
"7285","24","9.0"
"12964","24","17.0"
"5948","24","7.0"
"5953","24","7.0"
"6077","24","7.0"
"8791","24","11.0"
"6203","24","7.0"
"8732","24","11.0"
"8768","24","11.0"
"5811","24","7.0"
"8348","24","11.0"
"5709","24","7.0"
"8406","24","11.0"
"8462","24","11.0"
"8382","24","11.0"
"5724","24","7.0"
"8392","24","11.0"
"5772","24","7.0"
"8502","24","11.0"
"5664","24","7.0"
"8998","24","11.0"
"6169","24","7.0"
"4149","24","4.0"
"6038","24","7.0"
"3885","24","4.0"
"8670","24","11.0"
"8623","24","11.0"
"8762","24","11.0"
"3900","24","4.0"
"8750","24","11.0"
"7450","24","9.0"
"7607.0","24.0","9.57"
"3776183.232323233","0.0","7.944545454545454"
