"Time","MEM","Iter"
"116762","97","11.0"
"112677","97","11.0"
"112755","95","11.0"
"75349","95","7.0"
"112366","95","11.0"
"75333","96","7.0"
"112855","96","11.0"
"113044","96","11.0"
"150656","96","15.0"
"75716","96","7.0"
"112865","96","11.0"
"75569","96","7.0"
"114166","97","11.0"
"95362","97","9.0"
"150836","97","15.0"
"114134","97","11.0"
"94931","97","9.0"
"76500","97","7.0"
"95838","97","9.0"
"76735","97","7.0"
"76606","98","7.0"
"150824","95","15.0"
"76809","95","7.0"
"116109","95","11.0"
"114106","95","11.0"
"77407","96","7.0"
"114536","96","11.0"
"77448","96","7.0"
"77834","96","7.0"
"78140","96","7.0"
"97362","96","9.0"
"96915","96","9.0"
"116044","96","11.0"
"78971","97","7.0"
"97648","97","9.0"
"153214","97","15.0"
"78800","97","7.0"
"116169","97","11.0"
"78887","97","7.0"
"119575","97","11.0"
"154148","97","15.0"
"173428","97","17.0"
"79537","97","7.0"
"116075","97","11.0"
"79560","97","7.0"
"116317","97","11.0"
"78995","97","7.0"
"172314","97","17.0"
"116345","97","11.0"
"97766","97","9.0"
"78765","97","7.0"
"154361","97","15.0"
"79932","97","7.0"
"115561","97","11.0"
"98651","97","9.0"
"116125","97","11.0"
"97309","97","9.0"
"116818","97","11.0"
"81925","97","7.0"
"153337","97","15.0"
"79377","97","7.0"
"79367","97","7.0"
"116312","97","11.0"
"81122","97","7.0"
"113042","97","11.0"
"97165","97","9.0"
"114600","97","11.0"
"77510","97","7.0"
"114469","97","11.0"
"96624","97","9.0"
"166054","97","17.0"
"75689","97","7.0"
"75976","97","7.0"
"76576","97","7.0"
"114473","97","11.0"
"76251","97","7.0"
"110925","97","11.0"
"110669","97","11.0"
"76438","97","7.0"
"111915","97","11.0"
"75012","97","7.0"
"111639","97","11.0"
"111478","97","11.0"
"111585","97","11.0"
"75484","97","7.0"
"111673","97","11.0"
"76121","97","7.0"
"111761","97","11.0"
"77001","97","7.0"
"111252","97","11.0"
"77002","97","7.0"
"49247","97","4.0"
"76135","97","7.0"
"50117","97","4.0"
"110733","97","11.0"
"112862","97","11.0"
"114093","97","11.0"
"50121","97","4.0"
"113142","97","11.0"
"93711","97","9.0"
"101198.45","96.72","9.57"
"6.85775084209596E8","0.36525252525252466","7.944545454545454"
