X_Minimum,X_Maximum,Y_Minimum,Y_Maximum,Pixels_Areas,X_Perimeter,Y_Perimeter,Sum_of_Luminosity,Minimum_of_Luminosity,Maximum_of_Luminosity,Length_of_Conveyer,TypeOfSteel,Steel_Plate_Thickness,Edges_Index,Empty_Index,Square_Index,Outside_X_Index,Edges_X_Index,Edges_Y_Index,Outside_Global_Index,LogOfAreas,Log_X_Index,Log_Y_Index,Orientation_Index,Luminosity_Index,SigmoidOfAreas,Types_of_Steel_Plates_Faults,
42,50,270900,270944,267,17,44,24220,76,108,1687,A300,80,0.049800000000000000000000000000,0.241500000000000000000000000000,0.181800000000000000000000000000,0.004700000000000000000000000000,0.470600000000000000000000000000,1.000000000000000000000000000000,1.00,2.426500000000000000000000000000,0.903100000000000000000000000000,1.643500000000000000000000000000,0.818200000000000000000000000000,-0.291300000000000000000000000000,0.582200000000000000000000000000,Pastry
645,651,2538079,2538108,108,10,30,11397,84,123,1687,A300,80,0.764700000000000000000000000000,0.379300000000000000000000000000,0.206900000000000000000000000000,0.003600000000000000000000000000,0.600000000000000000000000000000,0.966700000000000000000000000000,1.00,2.033400000000000000000000000000,0.778200000000000000000000000000,1.462400000000000000000000000000,0.793100000000000000000000000000,-0.175600000000000000000000000000,0.298400000000000000000000000000,Pastry
829,835,1553913,1553931,71,8,19,7972,99,125,1623,A300,100,0.971000000000000000000000000000,0.342600000000000000000000000000,0.333300000000000000000000000000,0.003700000000000000000000000000,0.750000000000000000000000000000,0.947400000000000000000000000000,1.00,1.851300000000000000000000000000,0.778200000000000000000000000000,1.255300000000000000000000000000,0.666700000000000000000000000000,-0.122800000000000000000000000000,0.215000000000000000000000000000,Pastry
853,860,369370,369415,176,13,45,18996,99,126,1353,A400,290,0.728700000000000000000000000000,0.441300000000000000000000000000,0.155600000000000000000000000000,0.005200000000000000000000000000,0.538500000000000000000000000000,1.000000000000000000000000000000,1.00,2.245500000000000000000000000000,0.845100000000000000000000000000,1.653200000000000000000000000000,0.844400000000000000000000000000,-0.156800000000000000000000000000,0.521200000000000000000000000000,Pastry
1289,1306,498078,498335,2409,60,260,246930,37,126,1353,A400,185,0.069500000000000000000000000000,0.448600000000000000000000000000,0.066200000000000000000000000000,0.012600000000000000000000000000,0.283300000000000000000000000000,0.988500000000000000000000000000,1.00,3.381800000000000000000000000000,1.230500000000000000000000000000,2.409900000000000000000000000000,0.933800000000000000000000000000,-0.199200000000000000000000000000,1.000000000000000000000000000000,Pastry
430,441,100250,100337,630,20,87,62357,64,127,1387,A400,40,0.620000000000000000000000000000,0.341700000000000000000000000000,0.126400000000000000000000000000,0.007900000000000000000000000000,0.550000000000000000000000000000,1.000000000000000000000000000000,1.00,2.799300000000000000000000000000,1.041400000000000000000000000000,1.939500000000000000000000000000,0.873600000000000000000000000000,-0.226700000000000000000000000000,0.987400000000000000000000000000,Pastry
413,446,138468,138883,9052,230,432,1481991,23,199,1687,A400,150,0.489600000000000000000000000000,0.339000000000000000000000000000,0.079500000000000000000000000000,0.019600000000000000000000000000,0.143500000000000000000000000000,0.960700000000000000000000000000,1.00,3.956700000000000000000000000000,1.518500000000000000000000000000,2.618100000000000000000000000000,0.920500000000000000000000000000,0.279100000000000000000000000000,1.000000000000000000000000000000,Pastry
190,200,210936,210956,132,11,20,20007,124,172,1687,A400,150,0.225300000000000000000000000000,0.340000000000000000000000000000,0.500000000000000000000000000000,0.005900000000000000000000000000,0.909100000000000000000000000000,1.000000000000000000000000000000,1.00,2.120600000000000000000000000000,1.000000000000000000000000000000,1.301000000000000000000000000000,0.500000000000000000000000000000,0.184100000000000000000000000000,0.335900000000000000000000000000,Pastry
330,343,429227,429253,264,15,26,29748,53,148,1687,A400,150,0.391200000000000000000000000000,0.218900000000000000000000000000,0.500000000000000000000000000000,0.007700000000000000000000000000,0.866700000000000000000000000000,1.000000000000000000000000000000,1.00,2.421600000000000000000000000000,1.113900000000000000000000000000,1.415000000000000000000000000000,0.500000000000000000000000000000,-0.119700000000000000000000000000,0.559300000000000000000000000000,Pastry
74,90,779144,779308,1506,46,167,180215,53,143,1687,A400,150,0.087700000000000000000000000000,0.426100000000000000000000000000,0.097600000000000000000000000000,0.009500000000000000000000000000,0.347800000000000000000000000000,0.982000000000000000000000000000,1.00,3.177800000000000000000000000000,1.204100000000000000000000000000,2.214800000000000000000000000000,0.902400000000000000000000000000,-0.065100000000000000000000000000,1.000000000000000000000000000000,Pastry
